Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP4130C,TOILET HP4130C,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c7,LEVEL 04,HP4140J;HP5226;HP4140H
HP4140J,STAFF OFFICE HP4140J,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52ca,LEVEL 04,HP5226;HP4140H;HP4130C
HP6362,EXAM HP6362,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb52,LEVEL 06,HP6354;HP6358;HP6356;HP-C63C;HP-C63D;HP6360
HP4140K,STAFF OFFICE HP4140K,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52d3,LEVEL 04,HP4209;HP4151;HP4140L;HP5226;HP4130E
HP-ST-100,STAIR HP-ST-100,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,LEVEL 01,HP-C10A
HP6357,EXAM HP6357,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb60,LEVEL 06,HP6355;HP6353;HP6351;HP-C63C;HP-C63D;HP6359
HP6307,SIM: LD HP6307,6705ee8c-facf-410d-b7b9-fbbe4ac49775-00421fbc,LEVEL 06,HP6300;HP6307A
HP4140L,STAFF OFFICE HP4140L,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52db,LEVEL 04,HP4209;HP4151;HP4140K;HP5226;HP4130E
HP-ST-102,HP-ST-102,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b88854,LEVEL 01,HP-ST-502;HP0010;HP-ST-302;HP4304;HP-ST-PH02;HP7001;HP-ST-402
HP6307A,SIM: LD BATH HP6307A,6705ee8c-facf-410d-b7b9-fbbe4ac49775-00421fbf,LEVEL 06,HP6307
HP3308A,A/V CLOSET HP3308A,7d318c75-447d-4ef8-9c1f-27c12d2df25a-006b5bba,LEVEL 03,HP3308
HP6359,EXAM HP6359,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb6e,LEVEL 06,HP6357;HP6355;HP6353;HP6351;HP-C63C;HP-C63D
HP-EL-1,ELEVATOR HP-EL-1,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,LEVEL 02,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP2002;HP1014;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-2;HP2004
HP6305,CONTROL HP6305,6705ee8c-facf-410d-b7b9-fbbe4ac49775-00421fd6,LEVEL 06,HP-C63A;HP6300;HP6303
HP5120BB,HUDDLE HP5120BB,9184f9ef-56f8-464d-8752-2bc104b17e34-003b6e14,LEVEL 05,HP5120X;HP5120V;HP-C51B;HP5120Z
HP5120C,HUDDLE HP5120C,9184f9ef-56f8-464d-8752-2bc104b17e34-003b6e16,LEVEL 05,HP5130C;HP5120G;HP5120E;HP5120A;HP-C51C;HP5120J
HP-ST-PH02,STAIR HP-ST-PH02,b8453ade-c25b-46ff-a581-21fbb6e8a033-0056a87e,PENTHOUSE,HP-ST-502;HP0010;HP-ST-302;HP4304;HP-ST-102;HP7001;HP-ST-402
HP6363,SP LOUNGE HP6363,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb89,LEVEL 06,HP6367;HP6365
HP1005,SERVICE AREAWAY HP1005,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab65b,LEVEL 01,HP0012;HP0010
HP2310,CLASSROOM HP2310,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,LEVEL 02,HP2002;HP2312;HP2004;HP2310B;HP2310A
HP6360,EXAM HP6360,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb9e,LEVEL 06,HP6354;HP6362;HP6358;HP6356;HP-C63C;HP-C63D
HP5130B,PANTRY HP5130B,636b049e-73f5-4258-a0b1-a7d6cdb0fdd2-003e01cb,LEVEL 05,HP5130A;HP5130
HP5130A,COLLAB HUB HP5130A,636b049e-73f5-4258-a0b1-a7d6cdb0fdd2-003e01cc,LEVEL 05,HP5130B;HP5130
HP4130D,STORAGE HP4130D,8343925d-5711-40d8-9237-2d3241ec6fe6-00d17f7c,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120F;HP4120G;HP4120J;HP4120D;HP4120M
HP4304,CLASSROOM HP4304,3361b7f5-cad0-4606-9350-5b0507f4d788-002d6248,LEVEL 04,HP-ST-502;HP0010;HP-ST-302;HP-ST-102;HP4002;HP-ST-PH02;HP7001;HP4304A;HP-ST-402
HP4308,CLASSROOM HP4308,3361b7f5-cad0-4606-9350-5b0507f4d788-002d6249,LEVEL 04,HP3308;HP-ST-401;HP0010;HP-ST-601;HP4306;HP4002;HP4306A;HP4308A;HP-ST-501;HP0011
HP6358,EXAM HP6358,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbb6,LEVEL 06,HP6354;HP6362;HP6356;HP-C63C;HP-C63D;HP6360
HP4210,ADL STORAGE HP4210,3361b7f5-cad0-4606-9350-5b0507f4d788-002d624b,LEVEL 04,HP4202;HP5221
HP6356,EXAM HP6356,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbb8,LEVEL 06,HP6354;HP6362;HP6358;HP-C63C;HP-C63D;HP6360
HP4204,ANATOMY CLASS LAB HP4204,3361b7f5-cad0-4606-9350-5b0507f4d788-002d624c,LEVEL 04,HP4206;HP4002;HP4202;HP-C40B;HP4208
HP4207,ASSESSMENT LIBRARY HP4207,3361b7f5-cad0-4606-9350-5b0507f4d788-002d624d,LEVEL 04,HP4209;HP-C40B
HP4208,ANATOMY / SPEECH STORAGE HP4208,3361b7f5-cad0-4606-9350-5b0507f4d788-002d624f,LEVEL 04,HP4206;HP4204;HP5221
HP4206,ANATOMAGE HP4206,3361b7f5-cad0-4606-9350-5b0507f4d788-002d6251,LEVEL 04,HP4204;HP-C40B;HP4208
HP6206,DEBRIEF HP6206,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc0,LEVEL 06,HP6208;HP6204;HP6201;HP6202A;HP6202;HP6210
HP-EL-1,ELEVATOR HP-EL-1,bc3a5c3c-5f77-44b5-a8b4-db60f9e3e7c0-01316537,PENTHOUSE,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP6204,DEBRIEF HP6204,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc2,LEVEL 06,HP6206;HP6208;HP6201;HP6202A;HP6202;HP6210
HP6340,DEBRIEF HP6340,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc4,LEVEL 06,HP-C60C;HP6344A;HP6344;HP-C63D;HP-C63C;HP6342;HP6002
HP4302,CLASSROOM HP4302,3361b7f5-cad0-4606-9350-5b0507f4d788-002d625a,LEVEL 04,HP4002;HP4003
HP3120D,OFFICE HP3120D,a358ad2b-b01b-41a8-be40-5511aede3510-003b1d1a,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120G;HP3120K;HP3120J;HP3120M;HP3100;HP-C31C
HP6100Q,OFFICE HP6100Q,0ecb5947-ac96-4b12-aa87-c41974f6cf03-00493b2f,LEVEL 06,HP6100M;HP6100P;HP6100N;HP-C61A
HP-EL-1,ELEVATOR HP-EL-1,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b86904,LEVEL 03,HP-EL-2;HP-ST-304;HP-EL-2;HP-EL-1;HP-EL-1;1956;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP1014;HP-EL-2;HP3002;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP4153,RESEARCH HP4153,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c2dc,LEVEL 04,HP-C41F;HP4151;HP4157;HP4155
HP4157,RESEARCH HP4157,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c2dd,LEVEL 04,HP-C41F;HP4151;HP4153;HP4155
HP4155,RESEARCH HP4155,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c2de,LEVEL 04,HP-C41F;HP4151;HP4153;HP4157
HP4205A,PEDIATRIC STORAGE HP4205A,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c2df,LEVEL 04,HP4205
HP4205,PEDIATRIC CLASS LAB HP4205,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c2e0,LEVEL 04,HP-C40B;HP4205A
HP0013,MAIN ELECTRICAL HP0013,ff2510ce-33d4-4edc-99ca-3d27bca6f364-005558e8,LEVEL 01,HP0010
HP0011,EMERG ELEC HP0011,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555a16,LEVEL 01,HP3308;HP-ST-401;HP0010;HP-ST-601;HP4308;HP-ST-501
HP-EL-1,ELEVATOR HP-EL-1,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b869eb,LEVEL 05,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP5002;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-2;HP-EL-2;HP-EL-1
HP6365,SP DRESSING HP6365,21827dcf-85c2-4076-8eba-22439aeca401-0094c417,LEVEL 06,HP6363;HP-C63C;HP-C63D;HP6367;HP6369
HP0012,MAIN FIRE PUMP HP0012,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555bc8,LEVEL 01,HP1005
HP-EL-1,ELEVATOR HP-EL-1,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b86a9d,LEVEL 06,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP1014;HP-EL-2;HP6002;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP6330,MULTIPATIENT SIMULATION HP6330,6395fdc8-7d96-46bd-a0bc-28ab67edeec9-00be7941,LEVEL 06,HP-C60C;HP-C63B;HP6323;HP6325;HP6329;HP6326
HP-EL-1,ELEVATOR HP-EL-1,01dcde21-cacf-4769-a509-88c3cf060c87-004ac8e8,LEVEL 01,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP-EL-2;HP1014;HP0010;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP3120R,OFFICE HP3120R,884db1d5-5f47-48ab-9ebd-e94c513092d2-003ad87c,LEVEL 03,HP3120U;HP3120Y;HP3120P;HP-C31B;HP3120S;HP3120W;HP3120V;HP3120Q
HP6010A,MAINT CLOSET HP6010A,8edae312-eefb-4042-83af-5fef4d13a235-00f52ec2,LEVEL 06,HP6010;HP6012
HP6100A,DEAN'S EXECUTIVE EDUCATION HP6100A,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8682,LEVEL 06,HP-C61B;HP6100Y
HP6100B,DEAN HP6100B,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8683,LEVEL 06,HP6100C;HP-C61B
HP6100C,ADMIN. COORD. HP6100C,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8684,LEVEL 06,HP6100B;HP-C61B
HP-C61B,ADMIN CORRIDOR HP-C61B,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8686,LEVEL 06,HP6100D;HP6100A;HP6100B;HP6100C
HP3101,WORKRM/STOR HP3101,a05fb23f-c6e1-479f-a1ac-3774cb666868-005b1762,LEVEL 03,HP-C31A;HP3011
HP3010C,MEDITATION HP3010C,080fb163-97a4-4ffb-bc78-8c98df03bef8-006d2059,LEVEL 03,HP3010D;HP5220;HP3140M;HP3151;HP3205A;HP3140L;HP-C30B
HP4110UA,CLO. HP4110UA,9066caa9-697b-4982-86f2-9bd0364c1dbf-00c16b4c,LEVEL 04,HP4110U
HP3110UA,CLO. HP3110UA,9066caa9-697b-4982-86f2-9bd0364c1dbf-00c16b60,LEVEL 03,HP3110U;HP-C31A;HP3110T
HP-C31D,ADMIN CORR. HP-C31D,6769fb4e-8f5e-43fe-8c59-0352e7262f5c-008992b6,LEVEL 03,HP3140DD;HP3140A;HP3140CC;HP-C31F;HP3140GG;HP3140HH;HP3140FF;HP3140EE
HP4016,DATA HP4016,8f8a98cb-64bc-42ae-9d99-d208628062c0-009b0215,LEVEL 04,HP-C40B
HP5110UA,CLO. HP5110UA,9066caa9-697b-4982-86f2-9bd0364c1dbf-00c16b76,LEVEL 05,HP5110U
HP5120N,OFFICE HP5120N,c713b5d1-ec78-4879-bbe2-b1859d409957-007abfee,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120H;HP5120K;HP5120L;HP5120D;HP5120M;HP-C51C
HP0021,ATTIC STOCK HP0021,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,LEVEL 01,HP0015;HP0010
HP0029,MDF HP0029,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,LEVEL 01,HP0010
HP0027,MAINT STAFF OFFICE HP0027,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,LEVEL 01,HP0010
HP6100K,ASSIST. DEAN HP6100K,1674267a-4f3b-4bd3-8bff-9fea2c8565c4-002e20b9,LEVEL 06,HP6100G;HP6100J;HP6100H;HP-C61A
HP-ST-304,STAIR 04 HP-ST-304,8df684a3-eb47-49ac-8d34-df8266b25986-004ce156,LEVEL 03,HP-EL-2;1956;HP-ST-302;HP-ST-301;HP3304;HP3304A;HP3306;HP3302;HP-EL-1;HP3308;HP3202;HP3204;HP3002;HP3005;HP3310;HP3312
1956,PUBLIC (STAIR) 1956,8df684a3-eb47-49ac-8d34-df8266b25986-004ce159,LEVEL 03,HP-ST-304;HP-EL-2;HP-ST-302;HP-ST-301;HP3304;HP3304A;HP3306;HP3302;HP-EL-1;HP3308;HP3202;HP3204;HP3002;HP3005;HP3310;HP3312
HP5110G,OFFICE HP5110G,8761029a-7949-451f-bead-5894f98e32b0-00486bed,LEVEL 05,HP-C51A;HP5110H;HP5110J
HP5110H,OFFICE HP5110H,8761029a-7949-451f-bead-5894f98e32b0-00486bee,LEVEL 05,HP5110G;HP-C51A;HP5110J
HP5110J,OFFICE HP5110J,8761029a-7949-451f-bead-5894f98e32b0-00486bef,LEVEL 05,HP5110K;HP5110G;HP5110H;HP-C51A
HP5110K,OFFICE HP5110K,8761029a-7949-451f-bead-5894f98e32b0-00486bf0,LEVEL 05,HP-C51A;HP5110J
HP-ST-203,STAIR HP-ST-203,01dcde21-cacf-4769-a509-88c3cf060c87-004ac94c,LEVEL 02,HP-C20A
HP5110M,OFFICE HP5110M,8761029a-7949-451f-bead-5894f98e32b0-00486bf1,LEVEL 05,HP5110R;HP5110N;HP5110P;HP5110S;HP5110Q;HP-C51A
HP5110N,OFFICE HP5110N,8761029a-7949-451f-bead-5894f98e32b0-00486bf2,LEVEL 05,HP5110R;HP5110M;HP5110P;HP5110S;HP5110Q;HP-C51A
HP5110P,OFFICE HP5110P,8761029a-7949-451f-bead-5894f98e32b0-00486bf3,LEVEL 05,HP5110R;HP5110M;HP5110N;HP5110S;HP5110Q;HP-C51A
HP5110D,OFFICE HP5110D,8761029a-7949-451f-bead-5894f98e32b0-00486bf4,LEVEL 05,HP5110E;HP5110C;HP-C51A
HP5011,TOILET HP5011,21958d62-3273-46ac-b7c7-ea989ee8612c-004777fd,LEVEL 05,HP5101;HP-C51A
HP5015,ELECT HP5015,21958d62-3273-46ac-b7c7-ea989ee8612c-004777fe,LEVEL 05,HP-C50A
HP5110Q,OFFICE HP5110Q,8761029a-7949-451f-bead-5894f98e32b0-00486bf8,LEVEL 05,HP5110R;HP5110M;HP5110N;HP5110P;HP5110S;HP-C51A
HP5013,TOILET HP5013,21958d62-3273-46ac-b7c7-ea989ee8612c-00477801,LEVEL 05,HP-C50A
HP5110C,OFFICE HP5110C,8761029a-7949-451f-bead-5894f98e32b0-00486bfa,LEVEL 05,HP5110E;HP5110D;HP-C51A
HP0015,EQUIPMENT HP0015,c4042131-e75f-438f-814e-9ba0efb2a4d6-00ab5981,LOWER LEVEL,HP0010;HP0021
HP0025,HK WORKROOM HP0025,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d948d,LOWER LEVEL,HP0023;HP0010
HP4120A,WORKROOM / STORAGE HP4120A,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b41e0,LEVEL 04,HP-C41C;HP4120Y;HP-C41B;HP4120C
HP5120Q,CHAIR OFFICE HP5120Q,8761029a-7949-451f-bead-5894f98e32b0-00486c09,LEVEL 05,HP5120S;HP5120Y;HP5120T;HP5120AA;HP5120U;HP5120W;HP-C51B;HP5120R
HP5110R,OFFICE HP5110R,8761029a-7949-451f-bead-5894f98e32b0-00486c10,LEVEL 05,HP5110M;HP5110N;HP5110P;HP5110S;HP5110Q;HP-C51A
HP5110S,OFFICE HP5110S,8761029a-7949-451f-bead-5894f98e32b0-00486c14,LEVEL 05,HP5110R;HP5110M;HP5110N;HP5110P;HP5110Q;HP-C51A
HP5110T,CHAIR OFFICE HP5110T,8761029a-7949-451f-bead-5894f98e32b0-00486c15,LEVEL 05,HP-C51A
HP5120A,WORKROOM / STORAGE HP5120A,9184f9ef-56f8-464d-8752-2bc104b17e34-003b6f28,LEVEL 05,HP5130C;HP5120G;HP5120C;HP5120E;HP-C51C;HP-C51B;HP5120J
HP2200B,VESTIBULE HP2200B,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac97d,LEVEL 02,HP2200C;HP2202;HP2002;HP2004
