Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP4304A,AV CLO. HP4304A,7d318c75-447d-4ef8-9c1f-27c12d2df25a-006b729e,LEVEL 04,HP4304;HP4002
HP6322,SIM: CC HP6322,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d93fe,LEVEL 06,HP-C63B
HP6324,SIM: CC HP6324,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d93ff,LEVEL 06,HP-C63B
HP6314,SIM: MS HP6314,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9400,LEVEL 06,HP-C63B
HP6316,SIM: MS HP6316,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9401,LEVEL 06,HP-C63B
HP4120U,OFFICE HP4120U,4a653e06-fb9a-4797-9441-327d6da0ffac-0044cd21,LEVEL 04,HP4120Q;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP5110A,CONF(8) HP5110A,ef8ee73c-3cba-4c36-b4b2-71ef690105b8-007a506e,LEVEL 05,HP-C51A
HP7001A,ELECT ROOM HP7001A,f979e28d-8e0d-478a-8de2-d3f4d8c2cabf-013af91a,PENTHOUSE,HP-ST-502;HP2302;HP-ST-602;HP-ST-202;HP7001;HP-ST-402
HP3153,RESEARCH HP3153,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ec,LEVEL 03,HP3157A;HP-C31F;HP3157;HP3155;HP3151
HP3157,RESEARCH HP3157,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ed,LEVEL 03,HP-C31F;HP3153;HP3151;HP3155;HP3157A
HP3155,RESEARCH HP3155,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ee,LEVEL 03,HP-C31F;HP3153;HP3157;HP3151;HP3157A
HP7001B,ELECT CLOSET HP7001B,f979e28d-8e0d-478a-8de2-d3f4d8c2cabf-013afa52,PENTHOUSE,HP7001
HP6325,SUPPLY HP6325,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9434,LEVEL 06,HP6330;HP-C63B;HP6323
HP5206,MAKER SPACE STORAGE HP5206,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8224,LEVEL 05,HP-C50B
HP5208,SKILLS LAB STORAGE HP5208,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8225,LEVEL 05,HP5233
HP5304,SEMINAR HP5304,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8228,LEVEL 05,HP5002
HP5302,CLASSROOM HP5302,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d822f,LEVEL 05,HP5003;HP5002
HP5110B,CLO. HP5110B,e2133ce8-3912-4b13-95ba-19918877e439-00477320,LEVEL 05,HP-C51A
HP4140Z,OFFICE HP4140Z,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d686,LEVEL 04,HP4140X;HP-C41F;HP4140Y
HP4140Y,OFFICE HP4140Y,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d687,LEVEL 04,HP4140X;HP-C41F;HP4140Z
HP4140X,OFFICE HP4140X,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,LEVEL 04,HP4140M;HP4140Z;HP4140Y;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q;HP4140W;HP4140V;HP4140U;HP-C41F
HP4140S,OFFICE HP4140S,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140N,OFFICE HP4140N,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140P,OFFICE HP4140P,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140T;HP4140R;HP4140Q
HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140R;HP4140Q
HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140Q
HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R
HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,LEVEL 04,HP4140M;HP4140V;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,LEVEL 04,HP4140W;HP4140M;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,LEVEL 04,HP4140W;HP4140V;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP-ST-503,STAIR 03 HP-ST-503,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af1a7,LEVEL 05,HP-C51A
HP4202,ADL CLASS LAB HP4202,7d138358-9f87-4466-8f01-402102411f74-002c18fb,LEVEL 04,HP4002;HP4210;HP4204
HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,LEVEL 04,HP4140W;HP4140V;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP6304,SIM: FLEX HP6304,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d947c,LEVEL 06,HP6306;HP-C63A;HP6302
HP-C41A,ADMIN CORR. HP-C41A,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,LEVEL 04,HP4110G;HP4011;HP4110J;HP4110K;HP4110M;HP4110N;HP4110P;HP4110R;HP4110H;HP4110S;HP4110T;HP4110U;HP4110Q;HP4110D;HP4110E;HP4110C;HP4110A;HP4110B;HP4101;HP-ST-403
HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,LEVEL 06,HP6330;HP6340;HP6344A;HP-ST-601;HP6329;HP6344;HP6002
HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,LEVEL 03,HP3140C;HP-C31E;HP3140D;HP3140F;HP3140B
HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,LEVEL 06,HP6206;HP6204;HP6201;HP6202A;HP6202;HP6210
HP4310,CLASSROOM HP4310,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1c,LEVEL 04,HP4002;HP4310A
HP4312,CLASSROOM HP4312,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,LEVEL 04,HP4002;HP4312A;HP4005
