vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,69.99999635
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,20.41666667
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,20.41666667
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,10.49999999
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,30.33333333
322,HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,321,HP4140R,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,1,10.50000001
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,9.916666671
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,39.66666301
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,80.49999635
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,70.58332968
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,29.74999635
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,321,HP4140R,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,1,49.58332967
323,HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,322,HP4140Q,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,1,60.08332968
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,323,HP4140W,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,1,9.916663015
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,19.83332969
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,29.75
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,70.58333333
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,60.66666666
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,19.83333333
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,321,HP4140R,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,1,39.66666666
324,HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,322,HP4140Q,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,1,50.16666667
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,323,HP4140W,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,1,19.83332968
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,324,HP4140V,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,1,9.916666667
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,29.74999635
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,19.83333333
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,60.66666667
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,50.74999999
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,9.916666667
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,321,HP4140R,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,1,29.74999999
325,HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,322,HP4140Q,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,1,40.25
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,323,HP4140W,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,1,90.6917801
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,324,HP4140V,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,1,80.77511901
