Step,AgentID,Starting Node,Current Node,Path,Agent Type
1,160,108,413,"[108, 125, 236, 168, 213, 229, 84, 209, 181, 304, 440, 509, 413]",Student
1,161,227,514,"[227, 78, 172, 236, 168, 213, 229, 84, 209, 239, 402, 514]",Student
1,162,211,25,"[211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,163,211,303,"[211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 579, 599, 442, 303]",Student
1,164,77,25,"[77, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,165,82,615,"[82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 615]",Student
1,166,228,514,"[228, 235, 125, 236, 168, 213, 229, 84, 209, 239, 402, 514]",Student
1,167,375,516,"[375, 406, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 509, 516]",Student
1,168,154,159,"[154, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 159]",Student
1,169,108,12,"[108, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 1, 12]",Student
1,170,249,25,"[249, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,171,212,379,"[212, 226, 213, 168, 213, 237, 214, 202, 201, 210, 206, 373, 348, 404, 380, 334, 410, 378, 266, 379]",Student
1,172,38,441,"[38, 53, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441]",Student
1,173,421,25,"[421, 490, 517, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,174,267,396,"[267, 397, 296, 397, 267, 396]",Student
1,175,76,515,"[76, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 511, 515]",Student
