Edge,Count,Most Common Agent Type
"(78, 106)",2,Student
"(127, 213)",2,Academic
"(330, 377)",2,Academic
"(460, 433)",2,Staff
"(232, 78)",2,Student
"(229, 232)",2,Student
"(604, 594)",2,Staff
"(571, 604)",2,Staff
"(532, 611)",2,Staff
"(449, 510)",2,Academic
"(160, 237)",2,Academic
"(350, 348)",2,Academic
"(594, 610)",2,Student
"(519, 460)",2,Staff
"(338, 374)",1,Staff
"(221, 220)",1,Staff
"(411, 391)",1,Staff
"(337, 338)",1,Staff
"(220, 209)",1,Staff
"(506, 433)",1,Staff
"(66, 69)",1,Staff
"(216, 135)",1,Staff
"(242, 107)",1,Staff
"(401, 392)",1,Staff
"(386, 340)",1,Staff
"(340, 342)",1,Staff
"(238, 232)",1,Staff
"(416, 419)",1,Staff
"(546, 579)",1,Staff
"(521, 611)",1,Staff
"(545, 579)",1,Staff
"(534, 611)",1,Staff
"(258, 395)",1,Staff
"(574, 577)",1,Staff
"(386, 348)",1,Staff
"(608, 594)",1,Staff
"(611, 577)",1,Staff
"(465, 433)",1,Staff
"(337, 339)",1,Staff
"(16, 7)",1,Staff
"(135, 216)",1,Staff
"(7, 6)",1,Staff
"(140, 209)",1,Staff
"(231, 138)",1,Staff
"(138, 147)",1,Staff
"(222, 82)",1,Staff
"(613, 583)",1,Staff
"(415, 414)",1,Staff
"(538, 610)",1,Staff
"(5, 18)",1,Staff
"(407, 394)",1,Staff
"(372, 374)",1,Staff
"(63, 39)",1,Staff
"(412, 509)",1,Staff
"(303, 252)",1,Staff
"(252, 268)",1,Staff
"(61, 53)",1,Staff
"(54, 69)",1,Staff
"(519, 461)",1,Staff
"(243, 226)",1,Staff
"(465, 463)",1,Staff
"(602, 605)",1,Staff
"(605, 611)",1,Staff
"(381, 374)",1,Staff
"(23, 2)",1,Staff
"(5, 4)",1,Staff
"(625, 590)",1,Staff
"(590, 594)",1,Staff
"(492, 433)",1,Staff
"(537, 538)",1,Staff
"(594, 597)",1,Staff
"(437, 432)",1,Academic
"(51, 69)",1,Staff
"(576, 579)",1,Academic
"(446, 443)",1,Academic
"(306, 399)",1,Academic
"(53, 32)",1,Student
"(468, 489)",1,Academic
"(326, 396)",1,Academic
"(101, 234)",1,Academic
"(447, 510)",1,Academic
"(127, 168)",1,Academic
"(331, 410)",1,Academic
"(477, 510)",1,Academic
"(308, 399)",1,Academic
"(91, 170)",1,Academic
"(527, 577)",1,Academic
"(480, 489)",1,Academic
"(456, 433)",1,Academic
"(87, 237)",1,Academic
