Phase,AgentID,Starting Node,Starting Room Name,Current Node,Room Name,Path,Agent Type
0,23,610,WEST ATRIUM,227,COLLAB,"[610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 235, 227]",Student
0,24,1,AUDITORIUM,58,CLASSROOM STORAGE,"[1, 26, 18, 8, 17, 44, 53, 58]",Student
0,25,612,PUBLIC CORR.,405,COLLAB,"[612, 611, 568, 441, 302, 394, 405]",Student
0,26,27,STAIR,290,HUDDLE,"[27, 43, 180, 303, 442, 509, 433, 489, 488, 373, 348, 404, 380, 328, 377, 269, 290]",Student
0,27,577,EXAM SUITE CORRIDOR,32,CLASSROOM,"[577, 592, 440, 304, 181, 42, 67, 32]",Student
0,28,394,EAST ATRIUM,429,HUDDLE,"[394, 304, 440, 509, 412, 511, 491, 439, 510, 429]",Student
0,29,394,EAST ATRIUM,80,CLASSROOM,"[394, 304, 181, 224, 140, 80]",Student
0,30,53,EAST ATRIUM,81,COMPUTER CLASSROOM,"[53, 42, 181, 209, 81]",Student
0,31,1,AUDITORIUM,466,OPEN HUDDLE,"[1, 26, 18, 8, 17, 44, 179, 302, 441, 509, 433, 466]",Student
0,32,69,PUBLIC CORR.,267,RESEARCH,"[69, 53, 42, 181, 304, 394, 396, 267]",Student
0,33,393,WEST ATRIUM,414,MAKERSPACE MEDIA LAB,"[393, 257, 255, 394, 304, 440, 509, 412, 414]",Student
0,34,53,EAST ATRIUM,108,RESEARCH,"[53, 42, 181, 209, 84, 229, 226, 125, 108]",Student
0,35,509,EAST ATRIUM,490,COLLAB,"[509, 421, 490]",Student
0,36,69,PUBLIC CORR.,227,COLLAB,"[69, 53, 42, 181, 209, 84, 229, 226, 125, 235, 227]",Student
0,37,209,EAST ATRIUM,154,HUDDLE,"[209, 99, 211, 240, 210, 231, 214, 154]",Student
0,38,1,AUDITORIUM,58,CLASSROOM STORAGE,"[1, 26, 18, 8, 17, 44, 53, 58]",Student
0,39,29,PREFUNCTION,211,COLLAB,"[29, 18, 8, 17, 44, 179, 209, 99, 211]",Student
0,40,394,EAST ATRIUM,212,DIAGNOSTIC CLASS LAB STORAGE,"[394, 304, 181, 209, 84, 229, 212]",Student
0,41,42,STAIR,466,OPEN HUDDLE,"[42, 181, 304, 440, 509, 433, 466]",Student
0,42,593,STAIR 03,125,RESEARCH,"[593, 488, 489, 433, 509, 440, 304, 181, 209, 84, 229, 226, 125]",Student
0,43,53,EAST ATRIUM,260,RESEARCH,"[53, 42, 181, 304, 394, 396, 260]",Student
0,44,394,EAST ATRIUM,227,COLLAB,"[394, 304, 181, 209, 84, 229, 226, 125, 235, 227]",Student
0,45,395,PUBLIC CORR.,106,RESEARCH,"[395, 255, 394, 304, 181, 209, 84, 229, 226, 125, 106]",Student
0,46,394,EAST ATRIUM,125,RESEARCH,"[394, 304, 181, 209, 84, 229, 226, 125]",Student
0,47,209,EAST ATRIUM,228,COLLAB,"[209, 228]",Student
0,48,440,STAIR 01,153,HUDDLE,"[440, 509, 433, 489, 488, 373, 206, 210, 231, 214, 159, 153]",Student
0,49,53,EAST ATRIUM,248,CLASSROOM,"[53, 42, 181, 304, 394, 248]",Student
0,50,594,PUBLIC CORR.,211,COLLAB,"[594, 613, 593, 488, 373, 206, 210, 240, 211]",Student
0,51,509,EAST ATRIUM,262,RESEARCH,"[509, 440, 304, 394, 396, 262]",Student
0,52,233,ADMIN CORR.,99,CLASSROOM,"[233, 111, 214, 231, 210, 240, 211, 99]",Student
0,53,394,EAST ATRIUM,430,HUDDLE,"[394, 304, 440, 509, 433, 466, 430]",Student
0,54,601,PATIENT UNIT CORRIDOR,107,RESEARCH,"[601, 604, 594, 610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 107]",Student
0,55,209,EAST ATRIUM,252,CLASSROOM,"[209, 180, 303, 252]",Student
0,56,29,PREFUNCTION,107,RESEARCH,"[29, 18, 8, 17, 44, 179, 209, 84, 229, 226, 125, 107]",Student
0,57,374,PUBLIC CORR.,106,RESEARCH,"[374, 348, 373, 206, 210, 240, 211, 99, 209, 84, 229, 226, 125, 106]",Student
0,58,598,STAIR 04,212,DIAGNOSTIC CLASS LAB STORAGE,"[598, 493, 509, 440, 304, 181, 209, 84, 229, 212]",Student
0,59,69,PUBLIC CORR.,77,CLASSROOM,"[69, 53, 42, 181, 209, 77]",Student
0,60,53,EAST ATRIUM,32,CLASSROOM,"[53, 32]",Student
0,61,209,EAST ATRIUM,1,AUDITORIUM,"[209, 179, 44, 17, 8, 18, 26, 1]",Student
0,62,53,EAST ATRIUM,107,RESEARCH,"[53, 42, 181, 209, 84, 229, 226, 125, 107]",Student
0,63,621,ELEVATOR,76,CLASSROOM,"[621, 514, 402, 239, 209, 76]",Student
0,64,511,PUBLIC CORR.,84,CLASSROOM (30),"[511, 412, 509, 440, 304, 181, 209, 84]",Student
0,65,394,EAST ATRIUM,78,DIAGNOSTIC CLASS LAB,"[394, 304, 181, 209, 84, 229, 212, 78]",Student
0,66,234,ADMIN CORR.,76,CLASSROOM,"[234, 235, 125, 226, 229, 84, 209, 76]",Student
0,67,579,PATIENT UNIT CORRIDOR,252,CLASSROOM,"[579, 599, 442, 303, 252]",Student
0,68,140,SEMINAR,108,RESEARCH,"[140, 209, 84, 229, 226, 125, 108]",Student
0,69,53,EAST ATRIUM,158,COLLAB,"[53, 69, 55, 206, 210, 231, 158]",Student
0,70,612,PUBLIC CORR.,405,COLLAB,"[612, 611, 568, 441, 302, 394, 405]",Student
0,71,209,EAST ATRIUM,252,CLASSROOM,"[209, 180, 303, 252]",Student
0,72,209,EAST ATRIUM,84,CLASSROOM (30),"[209, 84]",Student
0,73,35,AUDITORIUM,1,AUDITORIUM,"[35, 53, 44, 17, 8, 18, 26, 1]",Student
0,74,493,STAIR 04,431,COLLAB HUB,"[493, 509, 433, 489, 476, 431]",Student
0,75,35,AUDITORIUM,419,SKILLS LAB STORAGE,"[35, 53, 69, 55, 206, 373, 488, 489, 433, 512, 419]",Student
0,76,394,EAST ATRIUM,260,RESEARCH,"[394, 396, 260]",Student
0,77,229,PUBLIC CORR.,228,COLLAB,"[229, 84, 209, 228]",Student
0,78,394,EAST ATRIUM,252,CLASSROOM,"[394, 252]",Student
0,79,512,WEST ATRIUM,166,HUDDLE,"[512, 433, 509, 440, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,80,509,EAST ATRIUM,227,COLLAB,"[509, 440, 304, 181, 209, 84, 229, 226, 125, 235, 227]",Student
0,81,348,ADMIN CORR.,82,COMPUTER CLASSROOM,"[348, 373, 206, 210, 240, 211, 99, 209, 82]",Student
0,82,394,EAST ATRIUM,405,COLLAB,"[394, 405]",Student
0,83,53,EAST ATRIUM,154,HUDDLE,"[53, 69, 55, 206, 210, 231, 214, 154]",Student
0,84,35,AUDITORIUM,419,SKILLS LAB STORAGE,"[35, 53, 69, 55, 206, 373, 488, 489, 433, 512, 419]",Student
0,85,613,ADMIN CORR.,490,COLLAB,"[613, 593, 488, 489, 499, 517, 490]",Student
0,86,594,PUBLIC CORR.,125,RESEARCH,"[594, 610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125]",Student
0,87,594,PUBLIC CORR.,429,HUDDLE,"[594, 613, 593, 488, 489, 476, 431, 445, 510, 429]",Student
0,88,53,EAST ATRIUM,227,COLLAB,"[53, 42, 181, 209, 84, 229, 226, 125, 235, 227]",Student
0,89,577,EXAM SUITE CORRIDOR,107,RESEARCH,"[577, 592, 440, 304, 181, 209, 84, 229, 226, 125, 107]",Student
0,90,53,EAST ATRIUM,58,CLASSROOM STORAGE,"[53, 58]",Student
0,91,69,PUBLIC CORR.,99,CLASSROOM,"[69, 55, 206, 210, 240, 211, 99]",Student
0,92,229,PUBLIC CORR.,264,PEDIATRIC CLASS LAB,"[229, 84, 209, 181, 304, 394, 255, 395, 264]",Student
0,93,378,PUBLIC (ENTRY),212,DIAGNOSTIC CLASS LAB STORAGE,"[378, 410, 334, 380, 404, 348, 373, 206, 210, 240, 211, 99, 209, 84, 229, 212]",Student
0,94,35,AUDITORIUM,419,SKILLS LAB STORAGE,"[35, 53, 69, 55, 206, 373, 488, 489, 433, 512, 419]",Student
0,95,53,EAST ATRIUM,107,RESEARCH,"[53, 42, 181, 209, 84, 229, 226, 125, 107]",Student
0,96,394,EAST ATRIUM,253,CLASSROOM,"[394, 253]",Student
0,97,440,STAIR 01,255,ANATOMY CLASS LAB,"[440, 304, 394, 255]",Student
0,98,509,EAST ATRIUM,262,RESEARCH,"[509, 440, 304, 394, 396, 262]",Student
0,99,35,AUDITORIUM,430,HUDDLE,"[35, 53, 69, 55, 206, 373, 488, 489, 462, 492, 466, 430]",Student
0,100,304,STAIR,153,HUDDLE,"[304, 440, 509, 433, 489, 488, 373, 206, 210, 231, 214, 159, 153]",Student
0,101,231,PUBLIC CORR.,38,CLASSROOM,"[231, 210, 206, 55, 69, 53, 38]",Student
0,102,579,PATIENT UNIT CORRIDOR,419,SKILLS LAB STORAGE,"[579, 599, 442, 509, 433, 512, 419]",Student
0,103,613,ADMIN CORR.,466,OPEN HUDDLE,"[613, 593, 488, 489, 462, 492, 466]",Student
0,104,35,AUDITORIUM,490,COLLAB,"[35, 53, 42, 181, 304, 440, 509, 421, 490]",Student
0,105,493,STAIR 04,253,CLASSROOM,"[493, 509, 440, 304, 253]",Student
0,106,509,EAST ATRIUM,405,COLLAB,"[509, 440, 304, 394, 405]",Student
0,107,209,EAST ATRIUM,212,DIAGNOSTIC CLASS LAB STORAGE,"[209, 84, 229, 212]",Student
0,108,394,EAST ATRIUM,290,HUDDLE,"[394, 259, 375, 406, 343, 374, 330, 377, 269, 290]",Student
0,109,140,SEMINAR,37,CLASSROOM,"[140, 209, 180, 43, 37]",Student
0,110,509,EAST ATRIUM,83,CLASSROOM (30),"[509, 440, 304, 181, 209, 84, 83]",Student
0,111,28,STUDENT COLLABORATION,466,OPEN HUDDLE,"[28, 29, 18, 8, 17, 44, 179, 302, 441, 509, 433, 466]",Student
0,112,53,EAST ATRIUM,99,CLASSROOM,"[53, 42, 181, 209, 99]",Student
0,113,209,EAST ATRIUM,431,COLLAB HUB,"[209, 181, 304, 440, 509, 433, 489, 476, 431]",Student
0,114,42,STAIR,78,DIAGNOSTIC CLASS LAB,"[42, 181, 209, 84, 229, 212, 78]",Student
0,115,1,AUDITORIUM,431,COLLAB HUB,"[1, 26, 18, 8, 17, 44, 179, 302, 441, 509, 433, 489, 476, 431]",Student
0,116,512,WEST ATRIUM,249,CLASSROOM,"[512, 433, 509, 440, 304, 394, 249]",Student
0,117,35,AUDITORIUM,250,ADL CLASS LAB,"[35, 53, 42, 181, 304, 394, 250]",Student
0,118,594,PUBLIC CORR.,82,COMPUTER CLASSROOM,"[594, 610, 612, 611, 568, 441, 302, 179, 209, 82]",Student
0,119,618,ADMIN CORRIDOR,439,COLLAB HUB,"[618, 615, 620, 613, 593, 488, 489, 476, 431, 445, 510, 439]",Student
0,120,53,EAST ATRIUM,153,HUDDLE,"[53, 69, 55, 206, 210, 231, 214, 159, 153]",Student
0,121,374,PUBLIC CORR.,107,RESEARCH,"[374, 348, 373, 206, 210, 240, 211, 99, 209, 84, 229, 226, 125, 107]",Student
0,122,35,AUDITORIUM,249,CLASSROOM,"[35, 53, 42, 181, 304, 394, 249]",Student
0,123,376,PUBLIC (STAIR),414,MAKERSPACE MEDIA LAB,"[376, 394, 304, 440, 509, 412, 414]",Student
0,124,180,STAIR 02,83,CLASSROOM (30),"[180, 209, 84, 83]",Student
0,125,394,EAST ATRIUM,58,CLASSROOM STORAGE,"[394, 304, 181, 42, 53, 58]",Student
0,126,9,BUILDING LOBBY,405,COLLAB,"[9, 29, 18, 8, 17, 44, 179, 302, 394, 405]",Student
0,127,433,PUBLIC CORR,166,HUDDLE,"[433, 509, 440, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,128,577,EXAM SUITE CORRIDOR,166,HUDDLE,"[577, 592, 440, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,129,35,AUDITORIUM,58,CLASSROOM STORAGE,"[35, 56, 52, 58]",Student
0,130,302,ELEVATOR,249,CLASSROOM,"[302, 394, 249]",Student
0,131,395,PUBLIC CORR.,83,CLASSROOM (30),"[395, 255, 394, 304, 181, 209, 84, 83]",Student
0,132,35,AUDITORIUM,419,SKILLS LAB STORAGE,"[35, 53, 69, 55, 206, 373, 488, 489, 433, 512, 419]",Student
0,133,53,EAST ATRIUM,264,PEDIATRIC CLASS LAB,"[53, 42, 181, 304, 394, 255, 395, 264]",Student
0,134,53,EAST ATRIUM,166,HUDDLE,"[53, 42, 181, 209, 84, 229, 226, 236, 166]",Student
0,135,35,AUDITORIUM,80,CLASSROOM,"[35, 53, 42, 181, 224, 140, 80]",Student
0,136,55,STAIR,81,COMPUTER CLASSROOM,"[55, 206, 210, 240, 211, 99, 209, 81]",Student
0,137,509,EAST ATRIUM,250,ADL CLASS LAB,"[509, 440, 304, 394, 250]",Student
0,138,394,EAST ATRIUM,31,CLASSROOM,"[394, 304, 181, 42, 67, 32, 31]",Student
0,139,53,EAST ATRIUM,264,PEDIATRIC CLASS LAB,"[53, 42, 181, 304, 394, 255, 395, 264]",Student
0,140,42,STAIR,259,CLASSROOM,"[42, 181, 304, 394, 259]",Student
0,141,592,STAIR 01,405,COLLAB,"[592, 440, 304, 394, 405]",Student
0,142,53,EAST ATRIUM,253,CLASSROOM,"[53, 42, 181, 304, 253]",Student
0,143,593,STAIR 03,439,COLLAB HUB,"[593, 488, 489, 476, 431, 445, 510, 439]",Student
0,144,509,EAST ATRIUM,158,COLLAB,"[509, 433, 489, 488, 373, 206, 210, 231, 158]",Student
0,145,394,EAST ATRIUM,36,CLASSROOM,"[394, 304, 181, 42, 53, 36]",Student
0,146,610,WEST ATRIUM,125,RESEARCH,"[610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125]",Student
0,147,618,ADMIN CORRIDOR,76,CLASSROOM,"[618, 615, 620, 613, 593, 488, 489, 433, 509, 440, 304, 181, 209, 76]",Student
0,148,53,EAST ATRIUM,430,HUDDLE,"[53, 69, 55, 206, 373, 488, 489, 462, 492, 466, 430]",Student
0,149,69,PUBLIC CORR.,405,COLLAB,"[69, 53, 42, 181, 304, 394, 405]",Student
0,150,394,EAST ATRIUM,166,HUDDLE,"[394, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,151,181,STAIR 01,58,CLASSROOM STORAGE,"[181, 42, 53, 58]",Student
0,152,509,EAST ATRIUM,211,COLLAB,"[509, 440, 304, 181, 209, 99, 211]",Student
0,153,209,EAST ATRIUM,107,RESEARCH,"[209, 84, 229, 226, 125, 107]",Student
0,154,511,PUBLIC CORR.,439,COLLAB HUB,"[511, 491, 439]",Student
0,155,509,EAST ATRIUM,32,CLASSROOM,"[509, 440, 304, 181, 42, 67, 32]",Student
0,156,395,PUBLIC CORR.,421,CLASSROOM,"[395, 255, 394, 304, 440, 509, 421]",Student
0,157,35,AUDITORIUM,108,RESEARCH,"[35, 53, 42, 181, 209, 84, 229, 226, 125, 108]",Student
0,158,231,PUBLIC CORR.,76,CLASSROOM,"[231, 210, 240, 211, 99, 209, 76]",Student
0,159,230,WEST ATRIUM,267,RESEARCH,"[230, 82, 209, 181, 304, 394, 396, 267]",Student
0,160,28,STUDENT COLLABORATION,108,RESEARCH,"[28, 29, 18, 8, 17, 44, 179, 209, 84, 229, 226, 125, 108]",Student
0,161,594,PUBLIC CORR.,227,COLLAB,"[594, 610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 235, 227]",Student
0,162,599,STAIR 02,211,COLLAB,"[599, 442, 303, 180, 209, 99, 211]",Student
0,163,209,EAST ATRIUM,211,COLLAB,"[209, 99, 211]",Student
0,164,579,PATIENT UNIT CORRIDOR,77,CLASSROOM,"[579, 599, 442, 303, 180, 209, 77]",Student
0,165,348,ADMIN CORR.,82,COMPUTER CLASSROOM,"[348, 373, 206, 210, 240, 211, 99, 209, 82]",Student
0,166,394,EAST ATRIUM,228,COLLAB,"[394, 304, 181, 209, 228]",Student
0,167,53,EAST ATRIUM,375,COLLAB,"[53, 42, 181, 304, 394, 259, 375]",Student
0,168,514,ELEVATOR,154,HUDDLE,"[514, 509, 433, 489, 488, 373, 206, 210, 231, 214, 154]",Student
0,169,29,PREFUNCTION,108,RESEARCH,"[29, 18, 8, 17, 44, 179, 209, 84, 229, 226, 125, 108]",Student
0,170,209,EAST ATRIUM,249,CLASSROOM,"[209, 181, 304, 394, 249]",Student
0,171,1,AUDITORIUM,212,DIAGNOSTIC CLASS LAB STORAGE,"[1, 26, 18, 8, 17, 44, 179, 209, 84, 229, 212]",Student
0,172,394,EAST ATRIUM,38,CLASSROOM,"[394, 304, 181, 42, 53, 38]",Student
0,173,509,EAST ATRIUM,421,CLASSROOM,"[509, 421]",Student
0,174,1,AUDITORIUM,267,RESEARCH,"[1, 26, 18, 8, 17, 44, 179, 302, 394, 396, 267]",Student
0,175,53,EAST ATRIUM,76,CLASSROOM,"[53, 42, 181, 209, 76]",Student
0,176,626,CORRIDOR,228,COLLAB,"[626, 592, 440, 304, 181, 209, 228]",Student
0,177,579,PATIENT UNIT CORRIDOR,255,ANATOMY CLASS LAB,"[579, 599, 442, 303, 394, 255]",Student
0,178,374,PUBLIC CORR.,421,CLASSROOM,"[374, 348, 373, 488, 489, 499, 517, 490, 421]",Student
0,179,488,STAIR 03,154,HUDDLE,"[488, 373, 206, 210, 231, 214, 154]",Student
0,180,611,EAST ATRIUM,77,CLASSROOM,"[611, 568, 441, 302, 179, 209, 77]",Student
0,181,373,STAIR 03,78,DIAGNOSTIC CLASS LAB,"[373, 206, 210, 240, 211, 99, 209, 84, 229, 212, 78]",Student
0,182,618,ADMIN CORRIDOR,490,COLLAB,"[618, 615, 620, 613, 593, 488, 489, 499, 517, 490]",Student
0,183,35,AUDITORIUM,260,RESEARCH,"[35, 53, 42, 181, 304, 394, 396, 260]",Student
0,184,593,STAIR 03,125,RESEARCH,"[593, 488, 489, 433, 509, 440, 304, 181, 209, 84, 229, 226, 125]",Student
0,185,509,EAST ATRIUM,252,CLASSROOM,"[509, 442, 303, 252]",Student
0,186,35,AUDITORIUM,38,CLASSROOM,"[35, 53, 38]",Student
0,187,210,ADMIN CORR.,79,CLASSROOM,"[210, 240, 211, 99, 209, 79]",Student
0,188,612,PUBLIC CORR.,421,CLASSROOM,"[612, 611, 568, 441, 509, 421]",Student
0,189,394,EAST ATRIUM,290,HUDDLE,"[394, 259, 375, 406, 343, 374, 330, 377, 269, 290]",Student
0,190,53,EAST ATRIUM,375,COLLAB,"[53, 42, 181, 304, 394, 259, 375]",Student
0,191,209,EAST ATRIUM,158,COLLAB,"[209, 99, 211, 240, 210, 231, 158]",Student
0,192,235,ADMIN CORR.,80,CLASSROOM,"[235, 125, 226, 229, 84, 209, 80]",Student
0,193,394,EAST ATRIUM,76,CLASSROOM,"[394, 304, 181, 209, 76]",Student
0,194,35,AUDITORIUM,211,COLLAB,"[35, 53, 42, 181, 209, 99, 211]",Student
0,195,53,EAST ATRIUM,267,RESEARCH,"[53, 42, 181, 304, 394, 396, 267]",Student
0,196,29,PREFUNCTION,36,CLASSROOM,"[29, 18, 8, 17, 44, 53, 36]",Student
0,197,577,EXAM SUITE CORRIDOR,81,COMPUTER CLASSROOM,"[577, 592, 440, 304, 181, 209, 81]",Student
0,198,511,PUBLIC CORR.,260,RESEARCH,"[511, 412, 509, 440, 304, 394, 396, 260]",Student
0,199,511,PUBLIC CORR.,228,COLLAB,"[511, 412, 509, 440, 304, 181, 209, 228]",Student
0,200,43,STAIR,248,CLASSROOM,"[43, 180, 303, 394, 248]",Student
0,201,35,AUDITORIUM,227,COLLAB,"[35, 53, 42, 181, 209, 84, 229, 226, 125, 235, 227]",Student
0,202,35,AUDITORIUM,212,DIAGNOSTIC CLASS LAB STORAGE,"[35, 53, 42, 181, 209, 84, 229, 212]",Student
0,203,395,PUBLIC CORR.,81,COMPUTER CLASSROOM,"[395, 255, 394, 304, 181, 209, 81]",Student
0,204,35,AUDITORIUM,81,COMPUTER CLASSROOM,"[35, 53, 42, 181, 209, 81]",Student
0,205,9,BUILDING LOBBY,490,COLLAB,"[9, 29, 18, 8, 17, 44, 179, 302, 441, 509, 421, 490]",Student
0,206,209,EAST ATRIUM,405,COLLAB,"[209, 181, 304, 394, 405]",Student
0,207,9,BUILDING LOBBY,516,COLLAB,"[9, 29, 18, 8, 17, 44, 179, 302, 441, 509, 516]",Student
0,208,509,EAST ATRIUM,375,COLLAB,"[509, 440, 304, 394, 259, 375]",Student
0,209,29,PREFUNCTION,79,CLASSROOM,"[29, 18, 8, 17, 44, 179, 209, 79]",Student
0,210,43,STAIR,34,CLASSROOM,"[43, 53, 69, 34]",Student
0,211,610,WEST ATRIUM,431,COLLAB HUB,"[610, 594, 613, 593, 488, 489, 476, 431]",Student
0,212,511,PUBLIC CORR.,264,PEDIATRIC CLASS LAB,"[511, 412, 509, 440, 304, 394, 255, 395, 264]",Student
0,213,302,ELEVATOR,158,COLLAB,"[302, 441, 509, 433, 489, 488, 373, 206, 210, 231, 158]",Student
0,214,53,EAST ATRIUM,264,PEDIATRIC CLASS LAB,"[53, 42, 181, 304, 394, 255, 395, 264]",Student
0,215,394,EAST ATRIUM,153,HUDDLE,"[394, 304, 440, 509, 433, 489, 488, 373, 206, 210, 231, 214, 159, 153]",Student
0,216,35,AUDITORIUM,154,HUDDLE,"[35, 53, 69, 55, 206, 210, 231, 214, 154]",Student
0,217,593,STAIR 03,414,MAKERSPACE MEDIA LAB,"[593, 488, 489, 433, 511, 414]",Student
0,218,35,AUDITORIUM,106,RESEARCH,"[35, 53, 42, 181, 209, 84, 229, 226, 125, 106]",Student
0,219,511,PUBLIC CORR.,166,HUDDLE,"[511, 412, 509, 440, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,220,348,ADMIN CORR.,439,COLLAB HUB,"[348, 373, 488, 489, 476, 431, 445, 510, 439]",Student
0,221,69,PUBLIC CORR.,260,RESEARCH,"[69, 53, 42, 181, 304, 394, 396, 260]",Student
0,222,594,PUBLIC CORR.,76,CLASSROOM,"[594, 610, 612, 611, 568, 441, 302, 179, 209, 76]",Student
0,223,55,STAIR,255,ANATOMY CLASS LAB,"[55, 69, 53, 42, 181, 304, 394, 255]",Student
0,224,35,AUDITORIUM,38,CLASSROOM,"[35, 53, 38]",Student
0,225,235,ADMIN CORR.,490,COLLAB,"[235, 125, 226, 229, 84, 209, 181, 304, 440, 509, 421, 490]",Student
0,226,398,ADMIN CORR.,77,CLASSROOM,"[398, 396, 394, 304, 181, 209, 77]",Student
0,227,53,EAST ATRIUM,153,HUDDLE,"[53, 69, 55, 206, 210, 231, 214, 159, 153]",Student
0,228,594,PUBLIC CORR.,108,RESEARCH,"[594, 610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 108]",Student
0,229,393,WEST ATRIUM,429,HUDDLE,"[393, 257, 255, 394, 304, 440, 509, 412, 511, 491, 439, 510, 429]",Student
0,230,55,STAIR,264,PEDIATRIC CLASS LAB,"[55, 69, 53, 42, 181, 304, 394, 255, 395, 264]",Student
0,231,53,EAST ATRIUM,79,CLASSROOM,"[53, 42, 181, 224, 140, 79]",Student
0,232,209,EAST ATRIUM,430,HUDDLE,"[209, 181, 304, 440, 509, 433, 466, 430]",Student
0,233,9,BUILDING LOBBY,99,CLASSROOM,"[9, 29, 18, 8, 17, 44, 179, 209, 99]",Student
0,234,235,ADMIN CORR.,255,ANATOMY CLASS LAB,"[235, 125, 226, 229, 84, 209, 181, 304, 394, 255]",Student
0,235,509,EAST ATRIUM,82,COMPUTER CLASSROOM,"[509, 440, 304, 181, 209, 82]",Student
0,236,209,EAST ATRIUM,252,CLASSROOM,"[209, 180, 303, 252]",Student
0,237,509,EAST ATRIUM,125,RESEARCH,"[509, 440, 304, 181, 209, 84, 229, 226, 125]",Student
0,238,613,ADMIN CORR.,166,HUDDLE,"[613, 593, 488, 489, 433, 509, 440, 304, 181, 209, 84, 229, 226, 236, 166]",Student
0,239,612,PUBLIC CORR.,38,CLASSROOM,"[612, 611, 568, 441, 302, 179, 44, 53, 38]",Student
0,240,235,ADMIN CORR.,421,CLASSROOM,"[235, 125, 226, 229, 84, 209, 181, 304, 440, 509, 421]",Student
0,241,53,EAST ATRIUM,80,CLASSROOM,"[53, 42, 181, 224, 140, 80]",Student
0,242,35,AUDITORIUM,261,RESEARCH,"[35, 53, 42, 181, 304, 394, 396, 261]",Student
0,243,509,EAST ATRIUM,431,COLLAB HUB,"[509, 433, 489, 476, 431]",Student
0,244,509,EAST ATRIUM,108,RESEARCH,"[509, 440, 304, 181, 209, 84, 229, 226, 125, 108]",Student
0,245,209,EAST ATRIUM,154,HUDDLE,"[209, 99, 211, 240, 210, 231, 214, 154]",Student
