roomnames,daylightfactor,standardeffectivetemperature,predictedmeanvote,generalcomfort,thermalstatusdryhumid,Level
HP3140N,3.579316,30.303867,0.132949,0.119749,0.035731,3
HP3140H,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120U,3.291477,30.303067,0.132653,0.119521,0.035502,3
3121A,0.0,30.234997,0.106985,0.119977,0.029566,3
3121B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3121C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3154B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110L,0.0,30.4018,0.1699,0.118721,0.042922,3
HP3110E,3.360647,30.303067,0.132653,0.119521,0.035502,3
HP3140CC,3.29761,30.303067,0.132653,0.119521,0.035502,3
HP-ST-303,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110Z,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3002,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C31A,0.0,30.234997,0.106985,0.119977,0.029566,3
1947,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3003,0.775754,30.235578,0.107188,0.119749,0.029795,3
HP3205A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3130,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3100,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C31E,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3101,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3304A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3001A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3005A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3001D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3001C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3001B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3306A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3310A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3312A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3208A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3206A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3308A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3010A,0.0,30.234997,0.106985,0.119977,0.029566,3
