Step,AgentID,Starting Node,Current Node,Path,Agent Type
0,156,9,0,"[9, 28, 9, 28, 9, 28, 0]",Student
0,157,583,579,"[583, 593, 613, 594, 579, 599, 579, 599, 579, 599, 579]",Student
0,158,25,12,"[25, 19, 24, 1, 11, 1, 12, 1, 11, 1, 12]",Student
0,159,583,509,"[583, 593, 488, 489, 499, 433, 509, 514, 441, 514, 509]",Student
0,160,413,416,"[413, 516, 412, 516, 413, 516, 412, 511, 416, 418, 416]",Student
0,161,514,179,"[514, 509, 514, 441, 509, 514, 402, 394, 402, 302, 179]",Student
0,162,25,11,"[25, 19, 6, 26, 6, 1, 11, 1, 11, 1, 11]",Student
0,163,303,394,"[303, 252, 253, 304, 181, 304, 181, 304, 252, 303, 394]",Student
0,164,25,29,"[25, 6, 20, 6, 26, 18, 26, 18, 29, 28, 29]",Student
0,165,615,611,"[615, 620, 597, 615, 620, 597, 620, 597, 594, 569, 611]",Student
0,166,514,594,"[514, 441, 509, 514, 509, 442, 599, 579, 594, 579, 594]",Student
0,167,516,509,"[516, 412, 511, 416, 511, 416, 511, 433, 461, 433, 509]",Student
0,168,159,104,"[159, 233, 178, 214, 233, 150, 233, 150, 104, 150, 104]",Student
0,169,12,0,"[12, 11, 12, 1, 29, 28, 0]",Student
0,170,25,0,"[25, 20, 26, 1, 11, 1, 29, 28, 0]",Student
0,171,379,27,"[379, 270, 398, 371, 398, 396, 394, 303, 180, 43, 27]",Student
0,172,441,8,"[441, 509, 442, 303, 394, 402, 239, 179, 44, 17, 8]",Student
0,173,25,0,"[25, 6, 1, 29, 9, 29, 28, 9, 0]",Student
0,174,396,70,"[396, 261, 396, 261, 264, 394, 402, 239, 209, 239, 70]",Student
0,175,515,514,"[515, 414, 511, 416, 418, 419, 416, 509, 514, 441, 514]",Student
0,176,9,0,"[9, 28, 29, 0]",Student
0,177,9,0,"[9, 0]",Student
0,178,159,233,"[159, 153, 111, 233, 177, 233, 150, 177, 233, 177, 233]",Student
0,179,600,594,"[600, 604, 600, 586, 585, 567, 586, 600, 604, 600, 594]",Student
0,180,25,0,"[25, 19, 24, 6, 1, 29, 9, 28, 0]",Student
0,181,9,0,"[9, 0]",Student
0,182,25,9,"[25, 19, 24, 6, 26, 1, 29, 28, 9, 28, 9]",Student
0,183,583,441,"[583, 593, 613, 594, 569, 579, 611, 568, 611, 568, 441]",Student
0,184,9,0,"[9, 29, 28, 0]",Student
0,185,291,303,"[291, 371, 370, 371, 370, 398, 370, 396, 261, 394, 303]",Student
0,186,303,70,"[303, 180, 209, 180, 209, 239, 70, 53, 70, 44, 70]",Student
0,187,585,599,"[585, 594, 569, 579, 594, 611, 568, 441, 509, 442, 599]",Student
0,188,46,9,"[46, 53, 43, 27, 6, 1, 11, 12, 11, 29, 9]",Student
0,189,9,0,"[9, 28, 29, 28, 9, 0]",Student
0,190,29,0,"[29, 9, 0]",Student
0,191,396,17,"[396, 405, 394, 402, 302, 179, 44, 17, 8, 10, 17]",Student
0,192,44,0,"[44, 53, 44, 17, 26, 1, 29, 28, 0]",Student
0,193,40,40,"[40, 62, 40, 62, 40, 62, 40, 62, 40, 62, 40]",Student
